pbds_code,item_id,title,card_name,set_name,card_number,edition,print_variant,grader,grade,grade_label,sold_price,currency,shipping,transaction_type,bid_count,created_at,seller,seller_feedback,seller_feedback_pct,cert_number,location,condition,returns_accepted,obo_min_price,current_bid,watchers,listing_url
TRK031-2000-1E-STD,3.06901E+11,2000 POKEMON ROCKET 1ST EDITION #31 DARK WEEZING PSA 10,Dark Weezing,Team Rocket,31/82,1st Edition,Standard,PSA,Gem Mint 10,,400,USD,5.99,Best Offer,,4/24/2026,psa,574000,99.90%,,United States,New (Other),,,,,https://www.ebay.com/itm/306900514540
TRK026-2000-1E-STD,4.06926E+11,PSA 10 GEM MINT Dark Hypno 26/82 RARE Team Rocket 1ST EDITION Pokemon Card,Dark Hypno,Team Rocket,26/82,1st Edition,Standard,PSA,Gem Mint 10,Gem Mint,395,USD,5.95,Best Offer,,5/19/2026,ap_trading_cards,494,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/406925600615
TRK014-2000-1E-HOLO,1.33952E+11,2000 Pokemon Team Rocket #14 Dark Weezing Holo 1st Edition CGC 9.5,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,Mint+ 9.5,,250,USD,5.25,Buy It Now,,4/23/2026,bbcemporium,75700,100%,,United States,New (Other),TRUE,,,, https://www.ebay.com/itm/133952417904
TRK010-2000-1E-HOLO,3.06777E+11,2000 POKEMON TEAM ROCKET - 1ST ED - HOLO #10/82 DARK MACHAMP CGC 10 GEM MINT,Dark Machamp,Team Rocket,Oct-82,1st Edition,Holo,CGC,Gem Mint 10,Gem Mint,525,USD,5.99,Best Offer,,5/12/2026,psa,574000,99.90%,,United States,New (Other),,,,, https://www.ebay.com/itm/306777482847
TRK033-2000-1E-STD,2.2735E+11,Pokémon TCG Team Rocket Dark Dragonair 33/82 1st Edition Regular PSA 10,Dark Dragonair,Team Rocket,33/82,1st Edition,Standard,PSA,Gem Mint 10,,689,USD,5.97,Best Offer,,5/20/2026,greyelkz,50,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/227350250297
TRK031-2000-1E-HOLO,1.78011E+11,Dark Weezing Pokémon (2000) Team Rocket 1st Edition 31/82 CGC Gem Mint 9.5,Dark Weezing,Team Rocket,31/82,1st Edition,Holo,CGC,Mint+ 9.5,Gem Mint,74.99,USD,0,Best Offer,,4/10/2026,sourced-ecommerce,93,100%,,United States,New (Other),TRUE,,,, https://www.ebay.com/itm/178010609133
TRK014-2000-1E-HOLO,3.77144E+11,[PSA 8] Pokemon Dark Weezing 14/82 Team Rocket - Holo - 1st Edition,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,NM-MT 8,,100,USD,6.24,Best Offer,,4/30/2026,zerosstuff,151,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/377143969066
TRK014-2000-1E-HOLO,1.7798E+11,Dark Weezing Pokémon (2000) Team Rocket 1st Edition 14/82 CGC Gem Mint 9.5,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,Mint+ 9.5,Gem Mint,99.99,USD,0,Best Offer,,3/21/2026,sourced-ecommerce,93,100%,,United States,New (Other),TRUE,,,, https://www.ebay.com/itm/177979579018
TRK014-2000-1E-HOLO,3.58526E+11,Dark Weezing Pokemon Team Rocket Holo 1st Edition #14 PSA 9,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,137.95,USD,0,Buy It Now,,5/17/2026,thecollectorstorellc,30200,99.90%,,United States,New (Other),,,,, https://www.ebay.com/itm/358526161923
TRK014-2000-1E-HOLO,3.76857E+11,Pokémon 2000 Team Rocket Dark Weezing 14/82 1st Edition Holo PSA 9,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,110,USD,5.97,Best Offer,,3/31/2026,bed-bath-and-tcg,71,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/376856695645
TRK018-2000-1E-STD,1.77975E+11,Pokemon Dark Alakazam Team Rocket 1st Edition NON Holo Rare #18 CGC 10 Gem Mint,Dark Alakazam,Team Rocket,18/82,1st Edition,Standard,CGC,Gem Mint 10,Gem Mint,249.99,USD,5.89,Best Offer,,4/5/2026,goodrummage,249,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/177974529269
TRK008-2000-1E-HOLO,2.06291E+11,2000 POKEMON ROCKET #8 DARK GYARADOS-HOLO 1ST EDITION PSA 8,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,PSA,NM-MT 8,,199.99,USD,0,Buy It Now,,5/26/2026,funkworkz,2500,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/206290684413
TRK039-2000-1E-STD,3.97945E+11,2000 POKEMON ROCKET 1ST EDITION #39 DARK KADABRA PSA 10,Dark Kadabra,Team Rocket,39/82,1st Edition,Standard,PSA,Gem Mint 10,,350,USD,9.45,Best Offer,,5/25/2026,je265,1500,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/397944573468
TRK014-2000-1E-HOLO,3.18221E+11,Pokémon 2000 Team Rocket Dark Weezing 14/82 1st Edition Holo Rare PSA 9,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,139,USD,5.72,Best Offer,,5/5/2026,chase.hunter.gaming,52,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/318220798607
TRK014-2000-1E-HOLO,2.36286E+11,PSA 9 | 2000 Pokémon Team Rocket 1ST EDITION Dark Weezing HOLO #14 | MINT Graded,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,Mint,179,USD,6.24,Best Offer,,4/6/2026,timelesstreasures_1995,155,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/236285851265
TRK042-2000-1E-STD,1.57696E+11,2000 POKEMON ROCKET 42 DARK PERSIAN 1ST EDITION | PSA 10,Dark Persian,Team Rocket,42/82,1st Edition,Standard,PSA,Gem Mint 10,,349,USD,9.45,Buy It Now,,5/5/2026,pokisland,898,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/157695677909
TRK083-2000-1E-HOLO,1.98375E+11,2000 Pokémon Team Rocket HOLO 1ST EDITION Dark Raichu #83 PSA 7 NM WOTC RARE,Dark Raichu,Team Rocket,83/82,1st Edition,Holo,PSA,NM 7,NM,275,USD,0,Best Offer,,5/23/2026,queencitycardsmt,959,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/198375465632
TRK031-2000-1E-STD,3.27016E+11,CGC 10 GEM MINT Dark Weezing 2000 Team Rocket 1st Edition 31/82 Pokemon Card,Dark Weezing,Team Rocket,31/82,1st Edition,Standard,CGC,Gem Mint 10,Gem Mint,99.99,USD,0,Buy It Now,,3/28/2026,millenniumrose,48600,100%,,United States,New (Other),TRUE,,,, https://www.ebay.com/itm/327015598995
TRK012-2000-1E-HOLO,3.77208E+11,Dark Slowbro Holo Rare 12/82 1st Edition 2000 Team Rocket Psa 9 Pokemon,Dark Slowbro,Team Rocket,Dec-82,1st Edition,Holo,PSA,Mint 9,,320,USD,0,Best Offer,,5/25/2026,braben_1951,125,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/377207960404
TRK009-2000-1E-HOLO,2.67606E+11,2000 Dark Hypno Pokemon Team Rocket 1st Edition 9/82 Holo CGC 10,Dark Hypno,Team Rocket,Sep-82,1st Edition,Holo,CGC,10,,549.99,USD,0,Buy It Now,,5/6/2026,sergiocardsafari,1900,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/267606210159
TRK014-2000-1E-HOLO,1.27781E+11,Pokémon TCG Dark Weezing 14/82 Team Rocket Holo 1st Edition PSA 9,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,130,USD,6.36,Best Offer,,4/15/2026,xil212,256,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/127781220756
TRK083-2000-1E-HOLO,2.9424E+11,PSA 9 MINT 2000 Dark RAICHU 1st edition HOLO Pokemon Team Rocket 83/82 SECRET,Dark Raichu,Team Rocket,83/82,1st Edition,Holo,PSA,Mint 9,Mint,729,USD,0,Best Offer,,4/12/2026,acewinston,823,100%,,United States,Pre-Owned,,,,, https://www.ebay.com/itm/294239809374
TRK011-2000-1E-HOLO,3.0696E+11,2000 Pokemon Team Rocket 1st Edition #11/82 Dark Magneton Holo CGC 8.5,Dark Magneton,Team Rocket,Nov-82,1st Edition,Holo,CGC,8.5,,99.99,USD,6.24,Buy It Now,,5/25/2026,petescardcorner,552,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/306960473610
TRK008-2000-1E-HOLO,2.27347E+11,PSA 9 Dark Gyarados 8/82 1st Edition Holo SWIRL Team Rocket Pokemon Card Graded,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,PSA,Mint 9,,475,USD,9,Buy It Now,,5/18/2026,mountyon35s,1000,99.50%,,United States,New (Other),,,,, https://www.ebay.com/itm/227346738721
TRK008-2000-1E-HOLO,3.17787E+11,2000 Pokemon CGC 10 1st Edition Dark Gyarados 8/82 Team Rocket - HOLO,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,CGC,10,,900,USD,5,Best Offer,,4/9/2026,alexcollectstcg,33,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/317786579176
TRK014-2000-1E-HOLO,1.88003E+11,Pokémon PSA 9 1st Edition Dark Weezing 14/82 Team Rocket Holo,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,120,USD,5.62,Best Offer,,3/7/2026,omega7407,1400,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/188003323077
TRK014-2000-1E-HOLO,1.57792E+11,Pokemon PSA 10 1st Edition Team Rocket Dark Weezing Holo Rare 14/82 GEM MINT,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Gem Mint 10,Gem Mint,1499.99,USD,0,Best Offer,,4/6/2026,cerulean_city,4000,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/157792166793
TRK009-2000-1E-HOLO,2.98329E+11,Pokémon Dark Hypno Team Rocket 1st Edition Holo Rare PSA 9 mint first edition,Dark Hypno,Team Rocket,Sep-82,1st Edition,Holo,PSA,Mint 9,Mint,194.99,USD,6.24,Buy It Now,,5/22/2026,moshrider14,308,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/298329392661
TRK010-2000-1E-HOLO,1.9805E+11,Dark Machamp 2000 Pokemon Team Rocket 1st Edition CGC 10 #10,Dark Machamp,Team Rocket,Oct-82,1st Edition,Holo,CGC,10,,599,USD,4.99,Best Offer,,4/11/2026,blessed_pullz,1000,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/198050293974
TRK001-2000-1E-HOLO,1.27781E+11,Pokémon TCG Dark Alakazam 1/82 Team Rocket Holo 1st Edition PSA 9,Dark Alakazam,Team Rocket,Jan-82,1st Edition,Holo,PSA,Mint 9,,390,USD,6.36,Best Offer,,4/5/2026,xil212,256,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/127781226650
TRK031-2000-1E-STD,1.47236E+11,PSA 10 GEM MINT Dark Weezing 31/82 RARE Team Rocket 1ST EDITION Pokemon Card,Dark Weezing,Team Rocket,31/82,1st Edition,Standard,PSA,Gem Mint 10,Gem Mint,200,USD,5.97,Best Offer,,4/4/2026,jaimi_3189,35,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/147236290093
TRK006-2000-1E-HOLO,2.67664E+11,2000 Pokémon Rocket 1st Edition #6 Dark Dugtrio - Holo PSA 9,Dark Dugtrio,Team Rocket,Jun-82,1st Edition,Holo,PSA,Mint 9,,349.95,USD,16.95,Buy It Now,,5/26/2026,delong6994,1200,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/267663998924
TRK044-2000-1E-STD,1.27821E+11,2000 Pokemon Team Rocket 1st Edition #44/82 Dark Rapidash PSA 10 GEM MINT,Dark Rapidash,Team Rocket,44/82,1st Edition,Standard,PSA,Gem Mint 10,Gem Mint,450,USD,0,Best Offer,,4/26/2026,brod2524,317,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/127821200731
TRK003-2000-1E-HOLO,3.18349E+11,POKEMON 2000 1ST EDITION DARK BLASTOISE HOLO TEAM ROCKET PSA 8,Dark Blastoise,Team Rocket,Mar-82,1st Edition,Holo,PSA,NM-MT 8,,600,USD,5.72,Buy It Now,,5/23/2026,cardcore_collectibles,81,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/318349092258
TRK014-2000-1E-HOLO,2.27304E+11,2000 POKEMON ROCKET 1ST ED #14 DARK WEEZING-HOLO PSA 9,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,,185,USD,5.48,Best Offer,,4/18/2026,maxdot_3,600,99.70%,,United States,New (Other),,,,, https://www.ebay.com/itm/227304255235
TRK008-2000-1E-HOLO,1.17206E+11,PSA 9 Dark Gyarados 8/82 1st Edition Holo SWIRL Team Rocket Pokemon Card Graded,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,PSA,Mint 9,,375,USD,6.24,Best Offer,,5/23/2026,jdmjdm33,1800,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/117205913207
TRK020-2000-1E-STD,3.06828E+11,Pokémon Dark Blastoise (2000) Team Rocket - 1st Ed. 20/82 CGC 10,Dark Blastoise,Team Rocket,20/82,1st Edition,Standard,CGC,10,,299.99,USD,6.24,Best Offer,,4/14/2026,petescardcorner,552,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/306828094243
TRK014-2000-1E-HOLO,3.8979E+11,2000 Pokémon Dark Weezing Holo Rocket 1st Edition #14 PSA 9 Mint,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,Mint,125,USD,0,Best Offer,,3/26/2026,cardboard_collectibles_llc,264,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/389789843817
TRK005-2000-1E-HOLO,3.58587E+11,Pokemon 2000 Dark Dragonite 5/82 Holo Team Rocket 1st Edition PSA 8,Dark Dragonite,Team Rocket,May-82,1st Edition,Holo,PSA,NM-MT 8,,750,USD,5.28,Best Offer,,5/25/2026,jereurg-0,146,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/358587306893
TRK008-2000-1E-HOLO,3.18221E+11,Pokémon 2000 Team Rocket Dark Gyarados 8/82 1st Edition Holo PSA 9 Rare,Dark Gyarados,Team Rocket,Aug-82,1st Edition,Holo,PSA,Mint 9,,415,USD,5.72,Best Offer,,5/1/2026,chase.hunter.gaming,52,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/318220837792
TRK018-2000-1E-STD,3.66325E+11,2000 POKEMON ROCKET 1ST EDITION #18 DARK ALAKAZAM PSA 10,Dark Alakazam,Team Rocket,18/82,1st Edition,Standard,PSA,Gem Mint 10,,650,USD,0,Buy It Now,,5/24/2026,alshr-21,130,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/366324877347
TRK014-2000-1E-HOLO,1.27877E+11,2000 Pokémon Team Rocket's 1st Edition Rare Holo Card Dark Weezing BGS 9 Mint,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,BGS,Mint 9,Mint,120,USD,5,Best Offer,,5/21/2026,doween,3200,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/127877388206
TRK014-2000-1E-HOLO,1.16873E+11,2000 POKEMON TEAM ROCKET Card DARK WEEZING -HOLO 14/82 1ST EDITION grade PSA 6,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,EX-MT 6,,59.99,USD,5,Buy It Now,,3/7/2026,ap12902tlb,7700,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/116872865264
TRK003-2000-1E-HOLO,3.66322E+11,Dark Blastoise 1st Edition 3/82 Team Rocket (2000) HOLO (MASSIVE SWIRL!) Pokémon,Dark Blastoise,Team Rocket,Mar-82,1st Edition,Holo,,,,600,USD,5,Best Offer,,4/1/2026,dbell1724,268,98.70%,,United States,New (Other),,,,, https://www.ebay.com/itm/366321955853
TRK003-2000-1E-HOLO,3.66301E+11,Dark Blastoise 1st Edition 3/82 Team Rocket (2000) HOLO (MASSIVE SWIRL!) Pokémon,Dark Blastoise,Team Rocket,Mar-82,1st Edition,Holo,,,,600,USD,5,Best Offer,,4/1/2026,dbell1724,268,98.70%,,United States,New (Other),,,,, https://www.ebay.com/itm/366300512101
TRK031-2000-1E-STD,1.57935E+11,2000 Pokemon Rocket 1st Edition Dark Weezing #31 Non-Holo PSA 8 NM-MT WOTC,Dark Weezing,Team Rocket,31/82,1st Edition,Standard,PSA,NM-MT 8,NM-MT,33.99,USD,5.97,Best Offer,,5/23/2026,tacogigolotcg,259,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/157935157413
TRK022-2000-1E-STD,1.57605E+11,PSA 9 Pokemon 2000 1st Edition Team Rocket Dark Dragonite Rare #22,Dark Dragonite,Team Rocket,22/82,1st Edition,Standard,PSA,Mint 9,,200,USD,0,Buy It Now,,4/17/2026,blackstagcards,1800,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/157605028672
TRK018-2000-1E-STD,1.47283E+11,2000 Pokemon Rocket 1st Edition #18 Dark Alakazam Non-Holo PSA 10 GEM MINT,Dark Alakazam,Team Rocket,18/82,1st Edition,Standard,PSA,Gem Mint 10,Gem Mint,475,USD,0,Buy It Now,,4/29/2026,twopaircollectibles,302,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/147282722235
TRK045-2000-1E-STD,1.47169E+11,2000 Pokemon Rocket 1st Edition Dark Vaporeon #45 PSA 10,Dark Vaporeon,Team Rocket,45/82,1st Edition,Standard,PSA,Gem Mint 10,,799,USD,5.95,Buy It Now,,5/17/2026,seaff,4500,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/147168958818
TRK011-2000-1E-HOLO,1.47313E+11,POKEMON DARK MAGNETON 2000 ROCKET #11 HOLO 1ST EDITION PSA 9 SWIRL,Dark Magneton,Team Rocket,Nov-82,1st Edition,Holo,PSA,Mint 9,,549.99,USD,0,Best Offer,,5/19/2026,resellish,2900,100%,,United States,New (Other),TRUE,,,, https://www.ebay.com/itm/147312737736
TRK039-2000-1E-STD,1.98207E+11,PSA 10 1st Edition Team Rocket Dark Kadabra,Dark Kadabra,Team Rocket,39/82,1st Edition,Standard,PSA,Gem Mint 10,,344.99,USD,0,Best Offer,,3/20/2026,rocky-mountain-collectible,732,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/198207206257
TRK021-2000-1E-STD,2.98196E+11,PSA 9- 1ST EDITION DARK CHARIZARD #21 Rare-2000 POKEMON ROCKET,Dark Charizard,Team Rocket,21/82,1st Edition,Standard,PSA,Mint 9,,750,USD,0,Best Offer,,4/16/2026,mavericksv-0,791,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/298196405099
TRK014-2000-1E-HOLO,2.06136E+11,2000 Pokémon Dark Weezing Holo Rocket 1st Edition #14 PSA 9 Mint,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Mint 9,Mint,119.99,USD,0,Buy It Now,,3/25/2026,funkworkz,2500,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/206136231207
TRK035-2000-1E-STD,2.36689E+11,2000 Pokemon 1st Edition Team Rocket Dark Flareon CGC 10 Gem Mint 35/82,Dark Flareon,Team Rocket,35/82,1st Edition,Standard,CGC,Gem Mint 10,Gem Mint,199.99,USD,5,Best Offer,,5/25/2026,great_river_collectibles,2400,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/236689032966
TRK014-2000-1E-HOLO,2.67613E+11,CGC 9 MINT Dark Weezing Team Rocket 1st Edition 14/82 Holo Pokemon Card,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,9,Mint,79.8,USD,0,Buy It Now,,4/5/2026,7ad3jc,2700,99.80%,,United States,New (Other),,,,, https://www.ebay.com/itm/267613289777
TRK045-2000-1E-STD,3.18159E+11,Pokémon Dark Vaporeon 45/82 Team Rocket 1st Edition PSA 10 2000 English,Dark Vaporeon,Team Rocket,45/82,1st Edition,Standard,PSA,Gem Mint 10,,669,USD,12.99,Buy It Now,,4/30/2026,prime_legacy_gaming_llc,24,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/318159434332
TRK014-2000-1E-HOLO,1.98325E+11,Pokémon TCG 1st Edition Dark Weezing Holo 2000 Pokemon Rocket,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,,,,99,USD,5.97,Best Offer,,5/18/2026,thorspersonalcollection,134,99.20%,,United States,New (Other),,,,, https://www.ebay.com/itm/198324589178
TRK031-2000-1E-STD,3.58513E+11,2000 Pokémon Team Rocket Dark Weezing 1st Edition #31/82 (PSA 7),Dark Weezing,Team Rocket,31/82,1st Edition,Standard,PSA,NM 7,,19.99,USD,5.95,Best Offer,,5/2/2026,kevinpeabody,684,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/358513048429
TRK014-2000-1E-HOLO,1.77825E+11,2000 POKEMON ROCKET 1ST ED #14 DARK WEEZING-HOLO PSA 8,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,NM-MT 8,,80,USD,4,Buy It Now,,3/25/2026,anth_collects,3900,99.90%,,United States,New (Other),,,,, https://www.ebay.com/itm/177825351910
TRK012-2000-1E-HOLO,3.58561E+11,Pokémon - Team Rocket - 1st Edition - Dark Slowbro Holo - 12/82 - PSA 10,Dark Slowbro,Team Rocket,Dec-82,1st Edition,Holo,PSA,Gem Mint 10,,3000,USD,6.95,Best Offer,,5/22/2026,iacilvon,4,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/358560521364
TRK014-2000-1E-HOLO,2.67622E+11,PSA 10 GEM MINT Dark Weezing 14/82 HOLO Team Rocket 1ST EDITION Pokemon Card,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,PSA,Gem Mint 10,Gem Mint,1199.99,USD,0,Buy It Now,,5/2/2026,tca_gaming,109900,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/267621881645
TRK014-2000-1E-HOLO,3.18106E+11,Pokemon TCG Dark Weezing Holo 1st Edition Team Rocket - CGC 8.5,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,8.5,,65,USD,5.89,Best Offer,,5/9/2026,poke-trader151,133,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/318106184219
TRK005-2000-1E-HOLO,3.36489E+11,1ST EDITION PSA 1 2000 Team Rocket Dark Dragonite 5/82 Holo Foil Rare Pokemon,Dark Dragonite,Team Rocket,May-82,1st Edition,Holo,PSA,POOR 1,,279.99,USD,14.99,Best Offer,,4/16/2026,carlson-cards,6000,100%,,United States,Pre-Owned,,,,, https://www.ebay.com/itm/336489006959
TRK014-2000-1E-HOLO,1.77841E+11,CGC 9.5 MINT+ Dark Weezing 14/82 Holo 1st Edition 2000 Pokemon Team Rocket Pop32,Dark Weezing,Team Rocket,14/82,1st Edition,Holo,CGC,Mint+ 9.5,Mint,129.99,USD,5.97,Buy It Now,,4/7/2026,unkyscollectibles,950,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/177841072722
TRK005-2000-1E-HOLO,2.27291E+11,Pokemon Dark Dragonite Team Rocket 1st Edition Holo Rare #5 CGC 9 Mint,Dark Dragonite,Team Rocket,May-82,1st Edition,Holo,CGC,9,Mint,650,USD,6.24,Best Offer,,4/7/2026,lipokeshop,175,95%,,United States,New (Other),,,,, https://www.ebay.com/itm/227291202306
TRK083-2000-1E-HOLO,1.17197E+11,Dark Raichu 83/82 1st Edition PSA 9 Pokemon Team Rocket Holo Rare 2000,Dark Raichu,Team Rocket,83/82,1st Edition,Holo,PSA,Mint 9,,779.95,USD,0,Best Offer,,5/18/2026,kingdavid_714,145,100%,,United States,New (Other),,,,, https://www.ebay.com/itm/117197277367
